"C00575795","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","COM","2500","833","3"
"C00585042","SKEWES, PETER ALAN PH.D.","IND","1230","246","5"
"C00579995","CIOTTI, ANTHONY MR. III","CAN","3000","3000","1"
"C00583542","MESSINA, PETER","CAN","2424","808","3"
"C00573519","CARSON, BENJAMIN S SR MD","CAN","25000","25000","1"
"C00500082","STAGG, SILVIA","IND","200","100","2"
"C00607150","WHITAKER, BOB","IND","2242","1121","2"
"C00607150","WHITAKER, BOB","CCM","875","875","1"
"C00586933","BASIAGO, ANDREW DANIEL","CCM","2296","2296","1"
"C00586933","BASIAGO, ANDREW DANIEL","CAN","992","496","2"
"C00602631","MCAFEE, JOHN DAVID","IND","12147","1518","8"
"C00578112","SCROGGIE, JEREMY","CAN","470","470","1"
"C00575795","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","PAC","10000","5000","2"
"C00605568","JOHNSON, GARY / WILLIAM ""BILL"" WELD","ORG","1000","500","2"
"C00578245","PATAKI, GEORGE E","CAN","30278","6056","5"
"C00578658","O'MALLEY, MARTIN JOSEPH","COM","410","410","1"
