table_catalog,table_schema,table_name,column_name,field_path,data_type,description,collation_name,rounding_mode
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource,"STRUCT<referralPath STRING, campaign STRING, source STRING, medium STRING, keyword STRING, adContent STRING, adwordsClickInfo STRUCT<campaignId INT64, adGroupId INT64, creativeId INT64, criteriaId INT64, page INT64, slot STRING, criteriaParameters STRING, gclId STRING, customerId INT64, adNetworkType STRING, targetingCriteria STRUCT<boomUserlistId INT64>, isVideoAd BOOL>, isTrueDirect BOOL, campaignCode STRING>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.referralPath,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.campaign,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.source,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.medium,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.keyword,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adContent,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo,"STRUCT<campaignId INT64, adGroupId INT64, creativeId INT64, criteriaId INT64, page INT64, slot STRING, criteriaParameters STRING, gclId STRING, customerId INT64, adNetworkType STRING, targetingCriteria STRUCT<boomUserlistId INT64>, isVideoAd BOOL>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.campaignId,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.adGroupId,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.creativeId,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.criteriaId,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.page,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.slot,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.criteriaParameters,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.gclId,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.customerId,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.adNetworkType,STRING,,NULL,
