fullVisitorId,date,products_viewed,distinct_products_viewed,pages_viewed,distinct_pages_viewed
5710379250208908569,20170731,"[Google Women's Lightweight Microfleece Jacket,Google Snapback Hat Black]",2,"[Google RFID Journal,Google Snapback Hat Black]",2
5710379250208908569,20170801,"[Waze Dress Socks,Plastic Sliding Flashlight,1 oz Hand Sanitizer,Switch Tone Color Crayon Pen,Google Stylus Pen w/ LED Light,Metal Texture Roller Pen,Ballpoint Stylus Pen,Seat Pack Organizer,YouTube Custom Decals,Google Snapback Hat Black,Android Lunch Kit,Google Device Stand,Rocket Flashlight,Android Luggage Tag,Rubber Grip Ballpoint Pen 4 Pack,22 oz Android Bottle,Google Laptop and Cell Phone Stickers,Google Luggage Tag,Android Twill Cap,Waze Pack of 9 Decal Set,Ballpoint LED Light Pen,Colored Pencil Set,Google 4400mAh Power Bank,Google Bib Red,Satin Black Ballpoint Pen,Micro Wireless Earbud,Pen Pencil & Highlighter Set,Android Sticker Sheet Ultra Removable,Android Hard Cover Journal,Suitcase Organizer Cubes,Google Flashlight,Windup Android,Compact Selfie Stick,Google Sunglasses,Google 5-Panel Snapback Cap,Google Blackout Cap,Recycled Mouse Pad,Google 5-Panel Cap,Electronics Accessory Pouch,Google 2200mAh Micro Charger,Android Rise 14 oz Mug,Google Doodle Decal,Google Men's 100% Cotton Short Sleeve Hero Tee White,Google Bib White,Keyboard DOT Sticker,8 pc Android Sticker Sheet,Android RFID Journal,YouTube Twill Cap,Galaxy Screen Cleaning Cloth,Android Wool Heather Cap Heather/Black,Google Twill Cap,Google Kick Ball,Android 17oz Stainless Steel Sport Bottle,Google Device Holder Sticky Pad,Badge Holder,Four Color Retractable Pen,Google Car Clip Phone Holder,Maze Pen,SPF-15 Slim & Slender Lip Balm,Basecamp Explorer Powerbank Flashlight,Gunmetal Roller Ball Pen]",61,"[Apparel | Google Merchandise Store,Shop by Brand | Google Merchandise Store,Fun | Accessories | Google Merchandise Store,Other | Office | Google Merchandise Store,Office | Google Merchandise Store,Accessories | Google Merchandise Store,Electronics | Google Merchandise Store,Writing Instruments | Office | Google Merchandise Store]",8
