productSKU,total_ordered
GGOEGOAQ012899,456
GGOEGDHC074099,334
GGOEGOCB017499,319
GGOEGOCC077999,290
GGOEGFYQ016599,253
GGOEGOCB078299,250
GGOEGHPJ080310,189
GGOEADHH073999,167
GGOEGAAX0037,146
GGOENEBQ078999,112
GGOEGOAB022499,105
GGOEGAAX0098,104
GGOENEBB078899,102
GGOEGDHQ015399,97
GGOENEBJ079499,94
GGOEYOCR077799,85
GGOEGAAX0781,82
GGOEGBMJ013399,70
GGOEGOLC013299,69
GGOEGBJL013999,62
GGOEGCBQ016499,60
GGOEGETB023799,56
GGOEGFKA022299,53
GGOEGPJC019099,52
GGOEYDHJ056099,50
GGOEGOAB021499,48
GGOEGBJC019999,43
GGOEGAAX0081,42
GGOENEBQ079199,42
GGOEGAAX0074,40
GGOEGOCD078399,39
GGOEGODR017799,39
GGOEGHGC019799,35
GGOEGKAA019299,34
GGOEGFKQ020799,34
GGOEGOXQ016399,33
GGOEYFKQ020699,30
GGOEGOCR017899,30
GGOEYAAJ033014,30
GGOEGHGR019499,26
GGOEGEHQ024099,25
GGOENEBQ079099,24
GGOEGDHC018299,23
GGOEGOAQ020099,22
GGOEGAAJ032816,22
GGOEGOCL077699,20
GGOEGAAX0330,20
GGOEGAAX0620,20
GGOEAFKQ020499,19
GGOEGOCC077299,19
GGOEGAAL010616,19
GGOEGAEJ031315,18
GGOEGAAQ010414,17
GGOEAKDH019899,16
GGOEGAAR010715,16
GGOEGESC014099,16
GGOEGALB034113,16
GGOEGDHR018499,16
GGOEA0CH077599,15
GGOEGAAX0104,15
GGOEGPJC203399,14
GGOEGHGH019699,14
GGOEGHGT019599,14
GGOEGFKQ020399,13
GGOEGBPB021199,13
GGOEGAAX0106,13
GGOEGOFH020299,12
GGOEGAAL010614,12
GGOEGBRJ037399,11
GGOEGFAQ016699,11
GGOEGESB015099,11
GGOEYAAJ033015,11
GGOEGAAX0313,11
GGOEAFKQ020599,11
GGOEGAAQ010415,11
GGOENEBD084799,10
GGOEGDHC015299,10
GGOEGESQ016799,10
GGOEGAAL010613,10
GGOEGAAQ010413,10
GGOEGCNB021099,9
GGOEYHPB072210,9
GGOEGAAB033815,9
GGOEGAEJ031314,9
GGOEGAAX0318,8
GGOEGAYB068026,8
GGOEGAEJ028013,8
GGOENEBJ081899,8
GGOEGAAJ032716,8
GGOEAAEJ033414,8
GGOEAAEJ033413,8
GGOEGAAJ080615,8
GGOEGALB036514,8
GGOENEBQ084699,7
GGOEGHPB080410,7
GGOEGALB034114,7
GGOEGAWR061848,7
GGOEGKWR060810,7
GGOEGATB060213,7
GGOEGKWQ060910,7
GGOEGAAX0795,7
GGOEGAAX0690,7
GGOEGALQ036616,7
GGOEAAWJ062548,7
GGOEAAAQ032013,6
GGOEGAAJ032616,6
GGOEGAAX0364,6
GGOEGAAX0341,6
GGOEGAAX0617,6
GGOEGAEJ028015,6
GGOEGALL074614,6
GGOEGAAB010514,6
GGOEAAEJ033415,6
GGOEGAAJ032614,6
GGOEWFKA082999,6
GGOEGAAX0325,6
GGOEGAAX0671,6
GGOEGCKQ013199,6
GGOEGOBC078699,6
GGOEGAAJ032313,6
