store,name,address,city,zipcode,store_location,county_number
3528,Super Target-t084 Mason C,3450  4TH ST SW,MASON CITY,50401,"3450 4TH ST SW
MASON CITY 50401
(43.148716512000078, -93.252240871999959)",17
4962,Hilltop Grocery,1312 HARRISON ST,DAVENPORT,52803,"1312 HARRISON ST
DAVENPORT 52803
(41.53317131600005, -90.577277404999961)",82
4607,Casey's General Store #1024 / Gutten,"1131, S HWY 52",GUTTENBERG,52052,"1131, S HWY 52
GUTTENBERG 52052
(42.773689403000049, -91.10049896299995)",22
4704,The Filling Station / Council Bluffs,1531 2nd AVE,COUNCIL BLUFFS,51501,"1531 2nd AVE
COUNCIL BLUFFS 51501
(41.259663400000079, -95.867170456999986)",78
2836,Cvs Pharmacy #8546 / Waterloo,205 FRANKLIN ST,WATERLOO,50703,"205 FRANKLIN ST
WATERLOO 50703
(42.503347103000067, -92.337227914999971)",7
2513,Hy-vee Food Store #2/iowa,812  S 1ST AVE,IOWA CITY,52240,"812 S 1ST AVE
IOWA CITY 52240
(41.651292004000027, -91.501962306999985)",52
3769,Wal-Mart 0753 / Cedar Fall,525 BRANDILYNN BLVD,CEDAR FALLS,50613,"525 BRANDILYNN BLVD
CEDAR FALLS 50613
(42.485056344000043, -92.441149701999962)",7
3756,Main Street Liquors / Manning,32627 CONCORD AVE,MANNING,51455,"32627 CONCORD AVE
MANNING 51455
(41.883929358000046, -95.053957935999961)",14
3877,Target Store T-2041 / Des Moines,5901 DOUGLAS AVE,DES MOINES,50322,"5901 DOUGLAS AVE
DES MOINES 50322
(41.629438456000059, -93.699499929999945)",77
4546,Casey's General Store #2303 / Glidde,705 IDAHO ST,GLIDDEN,51443,"705 IDAHO ST
GLIDDEN 51443
(42.063022999000054, -94.72901978799996)",14
4688,Walgreens #10770 / Carroll,105 E 6th ST,CARROLL,51401,"105 E 6th ST
CARROLL 51401
(42.065517449000026, -94.866543907999983)",14
4940,Cambridge Country Store,301 WATER ST,CAMBRIDGE,50046,"301 WATER ST
CAMBRIDGE 50046
(41.89946096400007, -93.529285140999946)",77
4921,Market Express,5340 16TH AVE SW,CEDAR RAPIDS,52404,"5340 16TH AVE SW
CEDAR RAPIDS 52404
(41.963897716000076, -91.739880207999988)",57
3993,New Star Liquor / W 4th S / Waterloo,1625 WEST 4TH ST,WATERLOO,50701,"1625 WEST 4TH ST
WATERLOO 50701
(42.484468587000038, -92.356242088999977)",7
2238,Adventureland Inn/boutiqu,3200 Adventureland Dr,ALTOONA,50009,"3200 Adventureland Dr
ALTOONA 50009
(41.658502705000046, -93.49506006699994)",77
3618,Wal-Mart 2716 / Cedar Rapids,3601 29TH AVE SW,CEDAR RAPIDS,52404,"3601 29TH AVE SW
CEDAR RAPIDS 52404
(41.949183077000043, -91.718830323999953)",57
4260,Fareway Stores #699 / Osceola,215 S MAIN ST,OSCEOLA,50213,"215 S MAIN ST
OSCEOLA 50213
(41.03321300500005, -93.765650749999963)",20
2840,Cvs Pharmacy #8633 / Bettendorf,2002 SPRUCE HILLS DR,BETTENDORF,52722,"2002 SPRUCE HILLS DR
BETTENDORF 52722
(41.550025743000049, -90.503477210999961)",82
3447,Sam's Club 6432 / Sioux City,4201 S. YORK ST.,SIOUX CITY,51106,"4201 S. YORK ST.
SIOUX CITY 51106
(42.433921534000035, -96.371659023999939)",97
3774,Eagle Country Market / Dubuque,1800 ELM ST,DUBUQUE,52001,"1800 ELM ST
DUBUQUE 52001
(42.51076605600008, -90.665580216999956)",31
3797,The Liquor Store / Davenport,211  W 53RD ST,DAVENPORT,52806,"211 W 53RD ST
DAVENPORT 52806
(41.574523254000042, -90.575940757999945)",82
3825,Shop N Save #2 / E 14th,1372 E 14TH ST,DES MOINES,50316,"1372 E 14TH ST
DES MOINES 50316
(41.604809829000033, -93.600557227999957)",77
3849,Hartig Drug Co #6 / Dyersville,711  16TH AVE SE,DYERSVILLE,52040,"711 16TH AVE SE
DYERSVILLE 52040
(42.470365062000042, -91.116572668999936)",31
4118,Lake View Redemption Center,502 5th Street,LAKE VIEW,51450,"502 5th Street
LAKE VIEW 51450
(42.307767416000047, -95.051579625999977)",81
4156,Fareway Stores #412 / Oelwein,102  2ND AVE SE,OELWEIN,50662,"102 2ND AVE SE
OELWEIN 50662
(42.679465875000062, -91.916768141999967)",33
4157,Fareway Stores #993 / North Liberty,615 WESTWOOD DR   P.O Box 96,NORTH LIBERTY,52317,"615 WESTWOOD DR P.O Box 96
NORTH LIBERTY 52317
(41.741083286000048, -91.608350695999945)",52
4182,Fareway Stores #008 / Dyersville,1207  12TH AVE SE,DYERSVILLE,52040,"1207 12TH AVE SE
DYERSVILLE 52040
(42.475297365000074, -91.11032406399994)",31
4183,Fareway Stores #589 / Decorah,103 E MAIN,DECORAH,52101,"103 E MAIN
DECORAH 52101
(43.303261702000043, -91.785010477999947)",96
4191,Fareway Stores #995 / Pella,2010 WASHINGTON ST,PELLA,50219,"2010 WASHINGTON ST
PELLA 50219
(41.412307325000029, -92.942133027999944)",63
4201,Fareway Stores #022 / Sioux City,4040 WAR EAGLE DR,SIOUX CITY,51109,"4040 WAR EAGLE DR
SIOUX CITY 51109
(42.494853044000081, -96.461638405999963)",97
4308,Keystone Liquor and Wine / Coralvill,517  2ND ST STE 2,CORALVILLE,52241,"517 2ND ST STE 2
CORALVILLE 52241
(41.671408460000066, -91.573421347999954)",52
4427,Kum & Go #507 / North Liberty,610 N KANSAS AVE,NORTH LIBERTY,52317,"610 N KANSAS AVE
NORTH LIBERTY 52317
(41.752590031000068, -91.636912118999987)",52
4536,Casey's General Store #2420 / Dubuqu,2699 ROCKDALE,DUBUQUE,52003,"2699 ROCKDALE
DUBUQUE 52003
(42.455084342000077, -90.678362478999986)",31
4712,Walgreens #11942 / Dubuque,345 E 20TH ST,DUBUQUE,52001,"345 E 20TH ST
DUBUQUE 52001
(42.512133885000026, -90.666956924999965)",31
4748,Walgreens #06186 / Davenport,4011 E 53RD ST,DAVENPORT,52807,"4011 E 53RD ST
DAVENPORT 52807
(41.574813629000062, -90.513780914999984)",82
4789,Katy Did's General Store,419 MERRILL ST,BUSSEY,50044,"419 MERRILL ST
BUSSEY 50044
(41.204751410000028, -92.886707120999972)",63
4973,Quillins Quality Foods West Union,"303, HWY 150 N",WEST UNION,52175,"303, HWY 150 N
WEST UNION 52175
(42.965066989000036, -91.814437450999947)",33
4977,Bacon Creek Country Store,2520 GORDON DR,SIOUX CITY,51106,"2520 GORDON DR
SIOUX CITY 51106
(42.489801441000054, -96.376580419999982)",97
2594,Hy-vee Food Store/sioux C,4500 SERGEANT ROAD,SIOUX CITY,51106,"4500 SERGEANT ROAD
SIOUX CITY 51106
(42.447602576000065, -96.347417318999987)",97
2600,Hy-vee Food Store/oskaloo,110  SO  D  ST,OSKALOOSA,52577,"110 SO D ST
OSKALOOSA 52577
(41.295137088000047, -92.649712731999955)",62
4853,Kum & Go #62 / Johnston,6130 NW 86TH ST,JOHNSTON,50131,"6130 NW 86TH ST
JOHNSTON 50131
(41.67182077800004, -93.736517263999986)",77
4890,Casey's General Store #3210 / Urband,4400 128TH ST,URBANDALE,50323,"4400 128TH ST
URBANDALE 50323
(41.640346757000032, -93.794524855999953)",77
4944,Jiffy Express / Martensdale,"290, HWY 28",MARTENSDALE,50160,"290, HWY 28
MARTENSDALE 50160
(41.373577479000062, -93.737350403999983)",91
4025,Karam Kaur Khasriya Llc,702 13TH ST,BELLE PLAINE,52208,"702 13TH ST
BELLE PLAINE 52208
(41.897088416000031, -92.27776074999997)",6
4042,Lake Ohana Market/mineola,23226 CENTRE DR,GLENWOOD,51534,"23226 CENTRE DR
GLENWOOD 51534
(41.130287503000034, -95.742780481999944)",65
4117,Tobacco Shop / Arnolds Park,612 S HIGHWAY 71 UNIT 4,ARNOLDS PARK,51331,"612 S HIGHWAY 71 UNIT 4
ARNOLDS PARK 51331
(43.361637451000036, -95.140187792999939)",30
4131,Fareway Stores #933 / Urbandale,8450 MEREDITH DR,URBANDALE,50322,"8450 MEREDITH DR
URBANDALE 50322
(41.643825569000057, -93.734780952999984)",77
4146,Fareway Stores #561 / Waverly,220 W BREMER AVE,WAVERLY,50677,"220 W BREMER AVE
WAVERLY 50677
(42.72578184300005, -92.467070281999952)",9
4236,Fareway Stores #551 / Eagle Grove,205 NW  1ST ST,EAGLE GROVE,50533,"205 NW 1ST ST
EAGLE GROVE 50533
(42.665170231000047, -93.90320161599999)",99
4247,Fareway Stores #879 / Belmond,115 SECOND AVE SE,BELMOND,50421,"115 SECOND AVE SE
BELMOND 50421
(42.845249269000078, -93.614153000999977)",99
2544,Hy-vee Food Store/marshal,802 SOUTH CENTER,MARSHALLTOWN,50158,"802 SOUTH CENTER
MARSHALLTOWN 50158
(42.039480489000027, -92.912763669999947)",64
4310,Fareway Stores #502 / Cherokee,205 WEST BLUFF ST,CHEROKEE,51012,"205 WEST BLUFF ST
CHEROKEE 51012
(42.755082065000067, -95.552391262999947)",18
4321,Fareway Stores #501 / Charles City,210  11TH ST,CHARLES CITY,50616,"210 11TH ST
CHARLES CITY 50616
(43.052662300000065, -92.674430307999955)",34
4361,Quik Trip #538 / Nw 2nd,4575 NW 2ND,DES MOINES,50313,"4575 NW 2ND
DES MOINES 50313
(41.643601396000065, -93.619844120999971)",77
4378,Kum and Go #202 / 4th St Wa,85  4TH ST,WAUKEE,50263,"85 4TH ST
WAUKEE 50263
(41.614100677000067, -93.882483714999978)",25
2529,Hy-vee Drugstore #4 / Cedar Rapids,4825 JOHNSON AVE NW,CEDAR RAPIDS,52405,"4825 JOHNSON AVE NW
CEDAR RAPIDS 52405
(41.968474579000031, -91.733071374999952)",57
4499,Casey's General Store #1316 / Milfor,510 OKOBOJI AVE,MILFORD,51351,"510 OKOBOJI AVE
MILFORD 51351
(43.320110366000051, -95.149943010999948)",30
4538,K & S Grocery,402 NORTH MAIN ST,CLARKSVILLE,50619,"402 NORTH MAIN ST
CLARKSVILLE 50619
(42.787570650000077, -92.667803534999962)",12
4634,Kwik Shop #565 / Cedar Rapids,"4201, CENTER POINT RD NE",CEDAR RAPIDS,52402,"4201, CENTER POINT RD NE
CEDAR RAPIDS 52402
(42.021977328000048, -91.665662888999975)",57
4724,Walgreens #05942 / Newton,1204 1ST AVE EAST,NEWTON,50208,"1204 1ST AVE EAST
NEWTON 50208
(41.699227801000063, -93.037700977999975)",50
2656,Hy-vee Food Store / Corning,300  10TH ST,CORNING,51632,"300 10TH ST
CORNING 51632
(40.991862193000031, -94.731948733999957)",22
3542,Chuck's Sportsmans Beverage,244 W 4TH ST,ST ANSGAR,50472,"244 W 4TH ST
ST ANSGAR 50472
(43.378451547000054, -92.921300925999958)",66
3592,Wal-Mart 0886 / Fort Dodge,3036 1ST AVE SOUTH,FORT DODGE,50501,"3036 1ST AVE SOUTH
FORT DODGE 50501
(42.50533650400007, -94.155660925999939)",94
4125,Wapello Jack and Jill,503 HWY 61 SOUTH,WAPELLO,52653,"503 HWY 61 SOUTH
WAPELLO 52653
(41.173490005000076, -91.189164398999935)",58
4416,KUM & GO #83 / CASEY,501 ANTUQUE COUNTRY DR,CASEY,50048,"501 ANTUQUE COUNTRY DR
CASEY 50048
(41.505229635000035, -94.519213904999958)",39
4699,Walgreens #06553 / Bettendorf,830 MIDDLE RD,BETTENDORF,52722,"830 MIDDLE RD
BETTENDORF 52722
(41.53855823400005, -90.522040470999968)",82
4717,Walgreens #05512 / Bettendorf,3425 MIDDLE RD,BETTENDORF,52722,"3425 MIDDLE RD
BETTENDORF 52722
(41.550884193000059, -90.48506950899997)",82
4898,Burlington Shell,"130, S ROOSEVELT AVE",BURLINGTON,52601,"130, S ROOSEVELT AVE
BURLINGTON 52601
(40.808202842000071, -91.141053175999957)",29
4419,KUM & GO #4 / LAMONI,2091 E MAIN ST,LAMONI,50140,"2091 E MAIN ST
LAMONI 50140
(40.623583097000051, -93.896690197999988)",27
4693,Hawkeye Convenience Stores / 16th St,250 16th AVE SW,CEDAR RAPIDS,52404,"250 16th AVE SW
CEDAR RAPIDS 52404
(41.961698010000077, -91.667849918999991)",57
4953,Tri Stop,302 HWY 136,LOST NATION,52254,"302 HWY 136
LOST NATION 52254
(41.968126759000029, -90.893316317999961)",23
4356,Kum and Go #396 / Nevada,136 LINCOLN HWY,NEVADA,50201,"136 LINCOLN HWY
NEVADA 50201
(42.022673307000048, -93.45821009399998)",85
4511,Super Quick / SE 30 DM,303 SE 30TH ST,DES MOINES,50317,"303 SE 30TH ST
DES MOINES 50317
(41.585360464000075, -93.558263875999955)",77
4551,Casey's General Store #2845 / Urband,201 SUNSET ST,URBANA,52345,"201 SUNSET ST
URBANA 52345
(42.226669406000042, -91.877002995999987)",6
4799,Walgreens #05777 / Des Moines,2930 E UNIVERSITY AVE,DES MOINES,50317,"2930 E UNIVERSITY AVE
DES MOINES 50317
(41.600607457000081, -93.558651042999941)",77
4791,Walgreens #05470 / Sioux City,4650 MORNINGSIDE AVE,SIOUX CITY,97,"4650 MORNINGSIDE AVE
SIOUX CITY 97
(42.499810303000061, -96.42093775699999)",97
4821,Casey's General Store #3215 / Oskalo,901 S MARKET ST,OSKALOOSA,52577,"901 S MARKET ST
OSKALOOSA 52577
(41.287564647000067, -92.645109508999951)",62
4915,Casey's General Store #2429 / Betten,"3902, STATE ST",BETTENDORF,52722,"3902, STATE ST
BETTENDORF 52722
(41.530636296000068, -90.478643233999946)",82
4930,Casey's General Store #3251 / Boone,1303 SE MARSHALL ST,BOONE,50036,"1303 SE MARSHALL ST
BOONE 50036
(42.035137539000061, -93.872970476999967)",8
4081,Harlan's Food Mart,306 WASHINGTON,STORY CITY,50248,"306 WASHINGTON
STORY CITY 50248
(42.18578225400006, -93.599570874999984)",85
2667,Hy-Vee Mainstreet,2611 PIERCE ST,SIOUX CITY,51104,"2611 PIERCE ST
SIOUX CITY 51104
(42.517629047000071, -96.405207708999967)",97
4059,Belle Plaine Country Food,1206 7TH AVE,BELLE PLAINE,52208,"1206 7TH AVE
BELLE PLAINE 52208
(41.896819934000064, -92.278297712999972)",6
3798,Old Calliope Liquor,2021 AVE E,HAWARDEN,51023,"2021 AVE E
HAWARDEN 51023
(43.009299631000033, -96.487987634999968)",84
4337,Grand Falls Casino Resort,1415 GRAND FALLS BLVD,LARCHWOOD,51241,"1415 GRAND FALLS BLVD
LARCHWOOD 51241
(43.45311580200007, -96.440665723999984)",60
3889,Wal-Mart 1005 / Waverly,700  29 ST SW,WAVERLY,50677,"700 29 ST SW
WAVERLY 50677
(42.70029562700006, -92.473871910999947)",9
4487,Casey's General Store #2787 / Cedar,1661 32ND ST NE,CEDAR RAPIDS,52402,"1661 32ND ST NE
CEDAR RAPIDS 52402
(42.010462576000066, -91.662340859999972)",57
4513,Casey's General Store #1144 / Polk C,1100 S 3RD ST,POLK CITY,50226,"1100 S 3RD ST
POLK CITY 50226
(41.763998714000024, -93.71714740699997)",77
4545,FILL R UP,14151 WABASH AVE,COUNCIL BLUFFS,51503,"14151 WABASH AVE
COUNCIL BLUFFS 51503
(41.216031956000052, -95.810781017999943)",78
4716,Walgreens #11153 / Spencer,800 GRAND AVE,SPENCER,51301,"800 GRAND AVE
SPENCER 51301
(43.146322071000043, -95.144862600999943)",21
4730,Walgreens #05944 / Johnston,6200 MERLE HAY RD,JOHNSTON,50131,"6200 MERLE HAY RD
JOHNSTON 50131
(41.673261130000071, -93.697756807999951)",77
4734,Walgreens #04973 / Urbandale,7000 DOUGLAS AVE,URBANDALE,50322,"7000 DOUGLAS AVE
URBANDALE 50322
(41.629353432000073, -93.713081003999946)",77
4744,Walgreens #03875 / Cedar Rapids,2821 1ST AVE SE,CEDAR RAPIDS,52402,"2821 1ST AVE SE
CEDAR RAPIDS 52402
(42.00549163200003, -91.634773669999959)",57
4774,Casey's General Store #3034 / Esther,"1615, CENTRAL AVE",ESTHERVILLE,51334,"1615, CENTRAL AVE
ESTHERVILLE 51334
(43.402196618000062, -94.822040479999941)",32
4786,Casey's General Store #1706 / Winter,1021 N 1st ST,WINTERSET,50273,"1021 N 1st ST
WINTERSET 50273
(41.343456950000075, -94.013442533999978)",61
4775,Casey's General Store #37 / Dakota C,"502, MAIN",DAKOTA CITY,50529,"502, MAIN
DAKOTA CITY 50529
(42.721360956000069, -94.201017080999975)",46
4441,SPEEDE SHOP,204 N Main St,Garnavillo,52049,"204 N Main St
Garnavillo 52049
(42.86647199500004, -91.234790148999991)",22
4519,Casey's General Store #2923 / WDM,1850 22ND ST,WEST DES MOINES,50266,"1850 22ND ST
WEST DES MOINES 50266
(41.599889586000074, -93.736166969999942)",77
4721,Walgreens #05044 / Burlington,3245 AGENCY ST,BURLINGTON,52601,"3245 AGENCY ST
BURLINGTON 52601
(40.814793037000072, -91.140068156999973)",29
4893,Casey's General Store #3098 / WDM,125 GRAND AVE,WEST DES MOINES,50265,"125 GRAND AVE
WEST DES MOINES 50265
(41.582737871000063, -93.704650909999941)",77
4927,Kum & Go #576 / West Des Moines,3501 EP TRUE PKWY,WEST DES MOINES,50265,"3501 EP TRUE PKWY
WEST DES MOINES 50265
(41.570188370000039, -93.752551264999965)",77
4454,Kum & Go #248 / Sioux City,2026 RIVERSIDE BLVD,SIOUX CITY,51109,"2026 RIVERSIDE BLVD
SIOUX CITY 51109
(42.514937316000044, -96.474504784999965)",97
4535,Casey's General Store #2421 / Dubuqu,4003 PERU RD,DUBUQUE,52001,"4003 PERU RD
DUBUQUE 52001
(42.539441741000076, -90.676136270999962)",31
4610,Casey's General Store #2992 / Fonda,"101, HWY 7",FONDA,50540,"101, HWY 7
FONDA 50540
(42.58892187500004, -94.846610584999951)",76
4750,Walgreens #04041 / Davenport,1525 E KIMBERLY,DAVENPORT,52807,"1525 E KIMBERLY
DAVENPORT 52807
(41.556752764000066, -90.552200295999967)",82
4924,Abby Lea's,"2757, CHARLES CITY RD",NASHUA,50658,"2757, CHARLES CITY RD
NASHUA 50658
(42.958718113000032, -92.54722774399994)",19
3845,Otho Convenience and Food,210 NORTH HWY,OTHO,50569,"210 NORTH HWY
OTHO 50569
(42.419947359000048, -94.146928629999991)",94
4951,New Star Mart (Amoco),4141 CENTER POINT RD NE,CEDAR RAPIDS,52402,"4141 CENTER POINT RD NE
CEDAR RAPIDS 52402
(42.021328594000067, -91.665403624999954)",57
4225,T P Plaza,1701 IOWA AVE,MARSHALLTOWN,50158,"1701 IOWA AVE
MARSHALLTOWN 50158
(42.007568044000038, -92.94184034899996)",64
4338,Randhawa's Travel Center,1659D MARSHALLTOWN BLVD,MELBOURNE,50162,"1659D MARSHALLTOWN BLVD
MELBOURNE 50162
(41.953260614000044, -93.10099046199997)",64
4364,Kum and Go #22 / Grinnell,715 LANG CREEK AVE,GRINNELL,50112,"715 LANG CREEK AVE
GRINNELL 50112
(41.699542374000032, -92.725528244999964)",79
4528,Casey's General Store #1303 / Marsha,111 N 3RD AVE,MARSHALLTOWN,50158,"111 N 3RD AVE
MARSHALLTOWN 50158
(42.05134092600008, -92.907993222999949)",64
4573,Casey's General Store #1330 / Hambur,1211 WASHINGTON ST,HAMBURG,51640,"1211 WASHINGTON ST
HAMBURG 51640
(40.605131609000068, -95.654624009999964)",36
4880,Casey's General Store #1567 / Anita,"912, MAIN ST",ANITA,50020,"912, MAIN ST
ANITA 50020
(41.443554903000063, -94.767787594999959)",15
4591,Casey's General Store #3052 / Clario,"222, CENTRAL AVE",CLARION,50525,"222, CENTRAL AVE
CLARION 50525
(42.731591648000062, -93.735029667999981)",99
4912,Casey's General Store #2531 / Eldrid,"840, E LE CLAIRE RD",ELDRIDGE,52748,"840, E LE CLAIRE RD
ELDRIDGE 52748
(41.654738200000054, -90.572770830999957)",82
4783,Casey's General Store #1684 / Emmets,"2406, MAIN ST",EMMETSBURG,50536,"2406, MAIN ST
EMMETSBURG 50536
(43.111932220000028, -94.68241042599999)",74
4824,Casey's General Store #3224 / Cresto,301 W TAYLOR ST,CRESTON,50801,"301 W TAYLOR ST
CRESTON 50801
(41.04920936700006, -94.36392546999997)",88
4848,Kum & Go #246 / Winterset,111 E JEFFERSON ST,WINTERSET,50273,"111 E JEFFERSON ST
WINTERSET 50273
(41.335480045000054, -94.013156116999937)",61
4923,Casey's General Store #2270 / Aureli,"100, PEARL ST",AURELIA,51005,"100, PEARL ST
AURELIA 51005
(42.712160719000053, -95.437562922999973)",18
4505,Casey's General Store #2816 / Johnst,6417 NORTHGLEN DR,JOHNSTON,50131,"6417 NORTHGLEN DR
JOHNSTON 50131
(41.685492906000036, -93.705082558999948)",77
4946,Byron Supermarket,306 BYRON AVE,WATERLOO,50702,"306 BYRON AVE
WATERLOO 50702
(42.480242111000052, -92.353320477999944)",7
3882,Kwik Shop #579 / Davenport,2805 TELEGRAPH RD,DAVENPORT,52802,"2805 TELEGRAPH RD
DAVENPORT 52802
(41.519000176000077, -90.621653556999945)",82
4266,Wal-Mart 1683 / Shenandoah,705 S FREMONT,SHENANDOAH,51601,"705 S FREMONT
SHENANDOAH 51601
(40.759802120000074, -95.385073477999981)",73
4560,Casey's General Store #2914 / Harlan,"1006, CHATBURN AVE",HARLAN,51537,"1006, CHATBURN AVE
HARLAN 51537
(41.645442312000057, -95.323232096999959)",83
9018,Paradise Distilling Company,245 Railroad Ave,Dubuque,52001,"245 Railroad Ave
Dubuque 52001
(42.487388463000059, -90.661778089999984)",31
3652,Discount Liquors Of Ida Grove,604 W 2ND,IDA GROVE,51445,"604 W 2ND
IDA GROVE 51445
(42.345120610000038, -95.47276242199996)",47
4150,Fareway Stores #951 / Waterloo,40  W SAN MARNAN,WATERLOO,50701,"40 W SAN MARNAN
WATERLOO 50701
(42.457473991000029, -92.357421301999977)",7
4095,City Liquor And Tobacco /,200 BROADWAY ST,WATERLOO,50703,"200 BROADWAY ST
WATERLOO 50703
(42.507445180000047, -92.34428774099996)",7
4555,Casey's General Store #2614 / Donnel,201 MADISON AVE,DONNELLSON,52625,"201 MADISON AVE
DONNELLSON 52625
(40.639053725000053, -91.560828201999982)",56
3866,Target Store T-1170 / Ames,320 S DUFF,AMES,50010,"320 S DUFF
AMES 50010
(42.019340908000061, -93.610333186999981)",85
3529,A To Z Liquor and Smoke Shop,114 S SECOND,CHEROKEE,51012,"114 S SECOND
CHEROKEE 51012
(42.748998017000076, -95.551263178999989)",18
4430,Kum & Go #87 / Fort Dodge,1601 FIFTH AVENUE S,FORT DODGE,50501,"1601 FIFTH AVENUE S
FORT DODGE 50501
(42.501031579000028, -94.175650710999946)",94
4451,Kum & Go #96 / WEBSTER CITY,1803 SUPERIOR ST,WEBSTER CITY,50595,"1803 SUPERIOR ST
WEBSTER CITY 50595
(42.45964910400005, -93.815895011999942)",40
3813,Cgi Foods,104 NORTH FILLMORE,MOUNT AYR,50854,"104 NORTH FILLMORE
MOUNT AYR 50854
(40.714893179000057, -94.238747003999947)",80
4459,Kum & Go #544 / Eagle Grove,1120 S COMMERCIAL,EAGLE GROVE,50533,"1120 S COMMERCIAL
EAGLE GROVE 50533
(42.653939376000039, -93.904352871999947)",99
2607,Hy-vee Wine and Spirits / S,520 SO FREMONT,SHENANDOAH,51601,"520 SO FREMONT
SHENANDOAH 51601
(40.761756287000026, -95.385132542999941)",73
2602,Hy-vee Food Store/webster,823  2ND ST,WEBSTER CITY,50595,"823 2ND ST
WEBSTER CITY 50595
(42.469477313000027, -93.824364560999982)",40
2512,Hy-vee Wine and Spirits / I,1720 WATERFRONT DR,IOWA CITY,52240,"1720 WATERFRONT DR
IOWA CITY 52240
(41.642926159000069, -91.530648875999987)",52
2613,Hy-vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,"2323 W BROADWAY
COUNCIL BLUFFS 51501
(41.261903436000068, -95.879540201999987)",78
2603,Hy-vee Wine and Spirits / B,2890 DEVILS GLEN ROAD,BETTENDORF,52722,"2890 DEVILS GLEN ROAD
BETTENDORF 52722
(41.551827948000039, -90.483739020999963)",82
2590,Hy-vee Food Store #5/ceda,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,"3235 OAKLAND ROAD NE
CEDAR RAPIDS 52402
(42.010814022000034, -91.658242193999968)",57
2599,Hy-vee Wine and Spirits / C,LANTERN PARK PLAZA,CORALVILLE,52241,"LANTERN PARK PLAZA
CORALVILLE 52241
(41.68834836800005, -91.58600845899997)",52
2643,Hy-vee Wine and Spirits / W,2126 KIMBALL AVE,WATERLOO,50701,"2126 KIMBALL AVE
WATERLOO 50701
(42.470915062000074, -92.357030391999956)",7
2630,Hy-vee Drugstore #2 / Wdm,1010  60TH ST,WEST DES MOINES,50266,"1010 60TH ST
WEST DES MOINES 50266
(41.585180708000053, -93.790586935999954)",77
3747,T-n-t Liquor,110 SOUTH MAIN,SIGOURNEY,52591,"110 SOUTH MAIN
SIGOURNEY 52591
(41.333550830000036, -92.205221340999969)",54
2545,Hy-vee Drugstore / Iowa City,310 N 1ST ST,IOWA CITY,52245,"310 N 1ST ST
IOWA CITY 52245
(41.66583006500008, -91.502064220999955)",52
2627,Hy-vee Wine and Spirits #1,3424 MARTIN LUTHER KING JR PKW,DES MOINES,50310,"3424 MARTIN LUTHER KING JR PKW
DES MOINES 50310
(41.626530437000042, -93.651166734999947)",77
2551,Hy-vee Food Store/charito,2001 WEST COURT,CHARITON,50049,"2001 WEST COURT
CHARITON 50049
(41.030305975000033, -93.303445747999945)",59
4141,Fareway Stores #975 / Se,3000 SE 22ND ST,DES MOINES,50320,"3000 SE 22ND ST
DES MOINES 50320
(41.556311440000059, -93.577497763999986)",77
2625,Hy-vee Wine and Spirits #2,3301 W KIMBERLY RD,DAVENPORT,52804,"3301 W KIMBERLY RD
DAVENPORT 52804
(41.560124034000069, -90.62359906599994)",82
4370,Kum and Go #240 / North Av,530 NORTH AVE,NORWALK,50211,"530 NORTH AVE
NORWALK 50211
(41.475333683000031, -93.681861080999965)",91
4997,Downtown Pantry,"218, 6th AVE #101",DES MOINES,50309,"218, 6th AVE #101
DES MOINES 50309
(41.585226416000069, -93.624397382999973)",77
2614,Hy-vee #3 Food and Drugstor,1823 E KIMBERLY RD,DAVENPORT,52807,"1823 E KIMBERLY RD
DAVENPORT 52807
(41.556752764000066, -90.550731135999968)",82
2500,Hy-vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.022836606000055, -93.669051489999958)",85
2572,Hy-Vee Food Store / Cedar Falls,6301 UNIVERSITY,CEDAR FALLS,50613,"6301 UNIVERSITY
CEDAR FALLS 50613
(42.512742219000074, -92.432420014999991)",7
3573,Quik Shop Foods/four M In,405 S MADISON,OTTUMWA,52501,"405 S MADISON
OTTUMWA 52501
(40.999011492000079, -92.410456371999942)",90
4998,Lake City Food Center,820 E MAIN ST,LAKE CITY,51449,"820 E MAIN ST
LAKE CITY 51449
(42.267440692000037, -94.724975926999946)",13
3855,Dyno's Wine and Spirits / Storm Lake,1201 1/2 LAKESHORE DR,STORM LAKE,50588,"1201 1/2 LAKESHORE DR
STORM LAKE 50588
(42.634998443000029, -95.186059864999947)",11
4464,Perfect Value Liquor Mart,5B  LINCOLN AVE,ELDRIDGE,52748,"5B LINCOLN AVE
ELDRIDGE 52748
(41.695056667000074, -90.54790604599998)",82
4456,Kum & Go #53 / Iowa City,955 MORMAN TREK BLVD,IOWA CITY,52246,"955 MORMAN TREK BLVD
IOWA CITY 52246
(41.64995162200006, -91.574126772999989)",52
4444,Kum & Go #4127 / SLOAN,1864 HWY 141,SLOAN,51055,"1864 HWY 141
SLOAN 51055
(42.228460138000059, -96.234490167999979)",97
4438,Kum & Go #214  Ames,111 DUFF AVE,AMES,50010,"111 DUFF AVE
AMES 50010
(42.023421137000071, -93.610417303999952)",85
