store,name,address,city,zipcode,store_location,county_number
4311,Fareway Stores #508 / Fort Dodge,1231  1ST AVE S,FORT DODGE,50501,"1231 1ST AVE S
FORT DODGE 50501
(42.505021931000044, -94.181499693999967)",94
4318,Fareway Stores #841 / Red Oak,811 BROADWAY,RED OAK,51566,"811 BROADWAY
RED OAK 51566
(41.000201857000036, -95.232768186999976)",69
4345,Lucky Mart,1031 WEST ST,GRINNELL,50112,"1031 WEST ST
GRINNELL 50112
(41.745970113000055, -92.727407616999983)",79
4357,Kum and Go #125 / Story Cit,527 PARK AVE,STORY CITY,50248,"527 PARK AVE
STORY CITY 50248
(42.18671905900004, -93.597827471999949)",85
4374,Kum and Go #141 / Grimes,1950 PRINCETON DR,GRIMES,50111,"1950 PRINCETON DR
GRIMES 50111
(41.673937520000038, -93.772629775999974)",77
4392,KUM & GO #156 / CLIVE,15600 HICKMAN RD,CLIVE,50325,"15600 HICKMAN RD
CLIVE 50325
(41.614733280000053, -93.834491177999951)",77
4405,KUM & GO #92 / ANKENY,1025 E  1ST ST,ANKENY,50021,"1025 E 1ST ST
ANKENY 50021
(41.731853508000029, -93.581680546999962)",77
4449,Kum & Go #121 / URBANDALE,12041 DOUGLAS PKWY,URBANDALE,50322,"12041 DOUGLAS PKWY
URBANDALE 50322
(41.629637735000074, -93.78195195699999)",77
4397,Quik Trip #514 / Ankeny,802 E 1ST ST,ANKENY,50021,"802 E 1ST ST
ANKENY 50021
(41.731918036000025, -93.586320785999987)",77
4426,LIQUOR AND GROCERY DEPOT,114 CENTRAL ST N Suite 1,MARSHALLTOWN,50158,"114 CENTRAL ST N Suite 1
MARSHALLTOWN 50158
(42.038899067000045, -92.912855822999973)",64
4445,Kum & Go #196 / WEBSTER CITY,1102 2ND ST,WEBSTER CITY,50595,"1102 2ND ST
WEBSTER CITY 50595
(42.469496581000044, -93.831121091999989)",40
4450,Kum & Go #157 / URBANDALE,4585 156TH ST,URBANDALE,50323,"4585 156TH ST
URBANDALE 50323
(41.643483588000038, -93.833424244999946)",77
4496,B P ON 1ST,"2824, 1ST AVE NE",CEDAR RAPIDS,52402,"2824, 1ST AVE NE
CEDAR RAPIDS 52402
(42.00586958100007, -91.634857785999941)",57
4514,Casey's General Store #2813 / Fort D,1230 3RD AVE NW,FORT DODGE,50501,"1230 3RD AVE NW
FORT DODGE 50501
(42.515449834000037, -94.218026432999977)",94
4525,Casey's General Store #2425 / Akron,600 HIGHWAY 12 SOUTH,AKRON,51001,"600 HIGHWAY 12 SOUTH
AKRON 51001
(42.834886589000064, -96.549575601999948)",75
4527,Casey's General Store #30 / Gilmore,105 SE FIRST ST,GILMORE CITY,50541,"105 SE FIRST ST
GILMORE CITY 50541
(42.732739320000064, -94.444597895999948)",46
4557,Hometown Foods / Traer,420 SECOND ST,TRAER,50675,"420 SECOND ST
TRAER 50675
(42.193426492000071, -92.467980583999974)",86
4584,J & C Grocery / Dumont,"611, MAIN ST",DUMONT,50602,"611, MAIN ST
DUMONT 50602
(42.750229626000078, -92.973018122999974)",12
4582,Pronto / Spirit Lake,"2402, 17th ST",SPIRIT LAKE,51360,"2402, 17th ST
SPIRIT LAKE 51360
(43.42285611300008, -95.126456686999973)",30
4589,dyno's #53 / Sibley,1026 2nd AVE,SIBLEY,51249,"1026 2nd AVE
SIBLEY 51249
(43.397935153000049, -95.752012028999957)",72
4602,Cheap Smokes/Beer City,58231 190th ST,PACIFIC JUNCTION,51561,"58231 190th ST
PACIFIC JUNCTION 51561
(41.041840655000044, -95.822923986999967)",65
4643,Cubby's Red Oak,"2405, N BROADWAY ST",RED OAK,51566,"2405, N BROADWAY ST
RED OAK 51566
(41.027479767000045, -95.232956849999937)",69
4623,Casey's General Store #1493 / Van Me,"700, DEBRA DR",VAN METER,50261,"700, DEBRA DR
VAN METER 50261
(41.533478525000078, -93.953006245999973)",25
4667,Kum & Go #56 / Bevington,101 E IA HIGHWAY 92,BEVINGTON,50033,"101 E IA HIGHWAY 92
BEVINGTON 50033
(41.360712382000031, -93.789514245999953)",61
4725,Casey's General Store #1548 / Ankeny,"2905, W  1ST ST",ANKENY,50023,"2905, W 1ST ST
ANKENY 50023
(41.731682971000055, -93.638360137999939)",77
4738,Casey's General Store #2284 / Counci,"1030, VETERAN MEMORIAL HWY",COUNCIL BLUFFS,51501,"1030, VETERAN MEMORIAL HWY
COUNCIL BLUFFS 51501
(41.219718399000044, -95.860300551999956)",78
4731,Walgreens #05060 / Clive,12753 UNIVERSITY AVE,CLIVE,50325,"12753 UNIVERSITY AVE
CLIVE 50325
(41.600448442000072, -93.793850197999973)",77
4788,Walgreens #12580 / Cedar Rapids,324 EDGEWOOD RD NW,CEDAR RAPIDS,52405,"324 EDGEWOOD RD NW
CEDAR RAPIDS 52405
(41.975001103000068, -91.716047562999961)",57
4823,Casey's General Store #3223 / Cresto,903 N SUMNER AVE,CRESTON,50801,"903 N SUMNER AVE
CRESTON 50801
(41.066337643000054, -94.372540822999952)",88
4810,Kum & Go #518 / Ankeny,3603 NE OTTERVIEW CIRCLE,ANKENY,50021,"3603 NE OTTERVIEW CIRCLE
ANKENY 50021
(41.761074835000045, -93.572416191999991)",77
4873,Casey's General Store #2559 / Grange,"1802, SYCAMORE ST",GRANGER,50109,"1802, SYCAMORE ST
GRANGER 50109
(41.759160283000028, -93.824467477999974)",25
4854,Casey's General Store #3029 / Armstr,"307, S 4TH AVE",ARMSTRONG,50514,"307, S 4TH AVE
ARMSTRONG 50514
(43.392712187000029, -94.482920484999966)",32
4899,Graettinger Market,"124, W ROBINS ST",GRAETTINGER,51342,"124, W ROBINS ST
GRAETTINGER 51342
(43.237733136000031, -94.751036056999965)",74
4926,GS Super Stop,4923 MERLE HAY RD,DES MOINES,50322,"4923 MERLE HAY RD
DES MOINES 50322
(41.65044462000003, -93.69736249999994)",77
4941,Kum & Go #170 / Urbandale,6990 DOUGLAS AVE,URBANDALE,50322,"6990 DOUGLAS AVE
URBANDALE 50322
(41.629353432000073, -93.711621062999939)",77
2651,Hy-vee / Waverly,1311 4 STREET SW,WAVERLY,50677,"1311 4 STREET SW
WAVERLY 50677
(42.712328953000053, -92.475453131999984)",9
2962,Dahl's / Johnston,5440 NW 86TH ST,JOHNSTON,50131,"5440 NW 86TH ST
JOHNSTON 50131
(41.659150287000045, -93.736487304999969)",77
2578,Hy-vee/charles City,901 KELLY ST,CHARLES CITY,50616,"901 KELLY ST
CHARLES CITY 50616
(43.06837242000006, -92.678489807999938)",34
2565,Hy-vee Food Store/spencer,819 N GRAND AVE,SPENCER,51301,"819 N GRAND AVE
SPENCER 51301
(43.146590552000077, -95.145176020999941)",21
2562,Hy-vee Food Store/fort Do,115 SOUTH 29TH ST,FORT DODGE,50501,"115 SOUTH 29TH ST
FORT DODGE 50501
(42.504739622000045, -94.158213230999991)",94
2579,Hy-vee Food Store/grinnel,320 WEST STREET SOUTH,GRINNELL,50112,"320 WEST STREET SOUTH
GRINNELL 50112
(41.741066320000073, -92.728896979999945)",79
2619,Hy-vee Wine and Spirits / W,1725  74TH ST,WEST DES MOINES,50266,"1725 74TH ST
WEST DES MOINES 50266
(41.582247679000034, -93.788548231999982)",77
2592,Hy-vee Drugstore / Marshalltown,1706 SOUTH CENTER,MARSHALLTOWN,50158,"1706 SOUTH CENTER
MARSHALLTOWN 50158
(42.027993668000079, -92.912586054999963)",64
2604,Hy-vee Wine and Spirits / L,1201 12TH AVE SW,LEMARS,51031,"1201 12TH AVE SW
LEMARS 51031
(42.778049346000046, -96.183417657999939)",75
2597,Hy-vee Food Store/cheroke,1300 N. SECOND,CHEROKEE,51012,"1300 N. SECOND
CHEROKEE 51012
(42.765528652000057, -95.552584845999945)",18
2620,Hy-vee / Windsor Hts,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,"7101 UNIVERSITY AVE
WINDSOR HEIGHTS 50311
(41.600407591000078, -93.714312456999949)",77
2658,Hy-vee Food Store / Mount Ayr,402 S HAYES ST,MOUNT AYR,50854,"402 S HAYES ST
MOUNT AYR 50854
(40.711828177000029, -94.233140072999959)",80
2843,Cvs Pharmacy #8526 / Cedar Rapids,4116 CENTER POINTE RD,CEDAR RAPIDS,52402,"4116 CENTER POINTE RD
CEDAR RAPIDS 52402
(42.020852701000081, -91.665157036999972)",57
2850,CVS/Pharmacy #10161 / Des Moines,215 E EUCLID AVE,DES MOINES,50313,"215 E EUCLID AVE
DES MOINES 50313
(41.627727562000075, -93.620721007999975)",77
3054,Mcnally's Super Valu,1026 MAIN,GRINNELL,50112,"1026 MAIN
GRINNELL 50112
(41.745730438000066, -92.725754091999988)",79
3041,Shugar's Super Valu / Colfax,28 E HOWARD,COLFAX,50054,"28 E HOWARD
COLFAX 50054
(41.677938242000039, -93.24445605599999)",50
3056,Clarion Super Valu Ii,325 CENTRAL AVE W,CLARION,50525,"325 CENTRAL AVE W
CLARION 50525
(42.731646957000066, -93.736540309999953)",99
3616,Laurens Food Pride,410 W MAIN ST,LAURENS,50554,"410 W MAIN ST
LAURENS 50554
(42.846736865000025, -94.853230443999962)",76
3393,The Hangout Liquors,111 W MAIN ST.,RICEVILLE,50466,"111 W MAIN ST.
RICEVILLE 50466
(43.363783410000053, -92.55446449599998)",66
3514,Karen's Spirits and Wine,328  2ND AVE S,FORT DODGE,50501,"328 2ND AVE S
FORT DODGE 50501
(42.502356703000032, -94.192454436999981)",94
3576,Liquor Store / Hartley,10  3RD ST NW,HARTLEY,51346,"10 3RD ST NW
HARTLEY 51346
(43.184850872000027, -95.477251102999958)",71
3615,Emmetsburg Food Pride,1307 S BROADWAY,EMMETSBURG,50536,"1307 S BROADWAY
EMMETSBURG 50536
(43.10760947600005, -94.678902999999991)",74
3625,Wal-Mart 0892 / Ankeny,1002 SE NATIONAL DR,ANKENY,50021,"1002 SE NATIONAL DR
ANKENY 50021
(41.704898180000043, -93.582420311999954)",77
3654,The Beverage Shop / Belmond,207 E MAIN ST,BELMOND,50421,"207 E MAIN ST
BELMOND 50421
(42.845926811000027, -93.615231536999943)",99
3691,Target Store T-1791 / Urbandale,11148 PLUM DR,URBANDALE,50322,"11148 PLUM DR
URBANDALE 50322
(41.647262429000079, -93.769705337999937)",77
2641,Hy-vee Drugstore / Council Bluffs,757 W BROADWAY,COUNCIL BLUFFS,51501,"757 W BROADWAY
COUNCIL BLUFFS 51501
(41.261663631000033, -95.855018710999957)",78
2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,"1013 MAIN
KEOKUK 52632
(40.400032359000079, -91.387719839999988)",56
2629,Hy-vee Food Store #2/ Cou,1745 MADISON AVE,COUNCIL BLUFFS,51503,"1745 MADISON AVE
COUNCIL BLUFFS 51503
(41.243530364000037, -95.826614363999965)",78
